"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"465","12092602","Fulda Washingtonallee","","50.554718","9.65058","2001","","0","","",""
"466","12207101","Fulda Walter-Bauer-Straße","","50.551279286","9.716892242","2001","","0","","",""
"467","12207102","Fulda Walter-Bauer-Straße","","50.551322","9.717142","2001","","0","","",""
"468","12235501","Fulda Weichselstraße","","50.539993","9.681905","2001","","0","","",""
"469","12235502","Fulda Weichselstraße","","50.540012","9.681855","2001","","0","","",""
"470","12217001","Fulda Weimarer Straße","","50.555945269","9.666694701","2001","","0","","",""
"471","12217002","Fulda Weimarer Straße","","50.556363617","9.666937441","2001","","0","","",""
"472","12018101","Fulda Weserstraße","","50.537977","9.67722","2001","","0","","",""
"473","12018102","Fulda Weserstraße","","50.538015","9.677073","2001","","0","","",""
"474","12205401","Fulda Weyherser Weg","","50.546002659","9.68323186","2001","","0","","",""
"475","12081601","Fulda Winfriedschule","","50.557160258","9.674730599","2001","","0","","",""
"476","12081602","Fulda Winfriedschule","","50.557134697","9.673984945","2001","","0","","",""
"477","12203201","Fulda Wirmerstraße","","50.563883","9.695108","2001","","0","","",""
"478","12203202","Fulda Wirmerstraße","","50.563917","9.695173","2001","","0","","",""
"479","12211801","Fulda Witzelstraße","","50.572312","9.65383","2001","","0","","",""
"480","12211802","Fulda Witzelstraße","","50.572773","9.654202","2001","","0","","",""
"481","12200501","Fulda Wörthstraße","","50.561152629","9.682637751","2001","","0","","",""
"482","12200502","Fulda Wörthstraße","","50.56113559","9.682736993","2001","","0","","",""
"483","12006201","Fulda Bahnhof / ZOB","","50.553680076","9.684096873","2001","","0","","",""
"484","12006202","Fulda Bahnhof / ZOB","","50.553680928","9.683804512","2001","","0","","",""
"485","12006203","Fulda Bahnhof / ZOB","","50.553562489","9.6842511","2001","","0","","",""
"486","12006204","Fulda Bahnhof / ZOB","","50.553563341","9.683950692","2001","","0","","",""
"487","12006205","Fulda Bahnhof / ZOB","","50.553415931","9.684438854","2001","","0","","",""
